"message_id","user_id","user_is_bot","user_first_name","chat_id","chat_type","text","date","context_date"
"3","6468181192","false","Lucas","-1002034756065","supergroup","Olá, mundo!","1715261875","2024-05-09"
"3","6468181192","false","Lucas","-1002034756065","supergroup","Olá, mundo!","1715261875","2024-05-09"
"4","6468181192","false","Lucas","-1002034756065","supergroup","teste","1715261944","2024-05-09"
"5","6468181192","false","Lucas","-1002034756065","supergroup","Ultima etapa!!","1715274965","2024-05-09"
"6","6468181192","false","Lucas","-1002034756065","supergroup","Oi","1715277826","2024-05-09"
"7","6468181192","false","Lucas","-1002034756065","supergroup","testando integração","1715277836","2024-05-09"
"8","6468181192","false","Lucas","-1002034756065","supergroup","API e ingestão de dados pelo AWS","1715277855","2024-05-09"
"9","6468181192","false","Lucas","-1002034756065","supergroup","Primeiro dia do projeto","1715281217","2024-05-09"
"10","6468181192","false","Lucas","-1002034756065","supergroup","testando a variação de tamanho de mensagem para resolução de possíveis problemas","1715281914","2024-05-09"
"11","6468181192","false","Lucas","-1002034756065","supergroup","Ultimo teste do dia","1715282078","2024-05-09"
